"occurrence_no","record_type","reid_no","superceded","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","late_interval","early_age","late_age","reference_no","lng","lat","cc","state","county","geogscale","protected","early_age","late_age","cx_int_no","early_int_no","late_int_no","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","collection_aka","authorizer_no","enterer_no","modifier_no","authorizer","enterer","modifier","created","modified","paleomodel","paleolng","paleolat","geoplate"
"332539","occurrence","","","123985","Aeschna gigantea n. sp.","species","179409","Urogomphus giganteus","species","179610","Early Tithonian","","150.8","145","50674, 50674","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-05-06 07:27:24","2014-04-07 23:25:48","","23.87","32.08","305"
"332540","occurrence","","","123985","Urogomphus eximius n. sp.","species","179607","Urogomphus giganteus","species","179610","Early Tithonian","","150.8","145","37805, 37805","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-05-06 07:27:24","2013-12-02 22:59:17","","23.87","32.08","305"
"633371","occurrence","","","68174","Libelluloidea indet.","superfamily","91836","Libelluloidea","superfamily","91836","Ypresian","","56","47.8","19606, 19606","2.650000","49.349998","FR","Oise","","","","56","47.8","109","109","109","Argiles d'lignite du Soissonnais","","","group of beds","","","","","","","","MP7","a succession of lenticular bodies showing two main facies: 1) clayey sands rich in frequently pyritised lignite, together with amber; 2) grey clayey sands with less lignite (1 to 12 % of the sediment), with continental vertebrate fauna. These facies, the rarity of mollusc shells and charophytes, probably due to decarbonatation and the presence of pyrrhotite (FeS4), reflect a hypoxic environment.","sandstone","lenticular,gray","","","Y","","","","","","fine channel fill","","Strata deposited at bottom of two channels cutting into underlying Thanetian marine green sands. The channels prograde toward the northeast and were discovered under Oise River Quaternary deposits.","","257","257","4","Holroyd, P.","Holroyd, P.","Alroy, J.","2007-01-06 17:53:39","2011-07-18 06:21:07","","9.60","40.44","315"
"879830","occurrence","","","97601","Liassogomphus brodiei","species","170233","Heterothemis brodiei","species","279242","Toarcian","","182.7","174.1","33306, 33306","7.910000","47.485001","CH","","","small collection","","182.7","174.1","131","131","131","Posidonia Shale","","Unterer Stein","bed","Harpoceras falciferum","","","","","","","exaratum subzone","Bituminous limestone with submillimetre lamination","lime mudstone","","lithified","carbonaceous","","","","","","","basinal (carbonate)","passive margin","","","166","166","166","Clapham, M.","Clapham, M.","Clapham, M.","2010-08-11 18:42:10","2011-01-04 15:22:13","","28.75","36.41","305"
"911797","occurrence","","","103103","Sloveniatrum n. gen. robici n. sp.","species","175216","Sloveniatrum robici","species","175216","Sarmatian","","12.7","11.608","34860, 34860","14.574000","46.235001","SI","","","small collection","","12.7","11.608","35","100","99","Coprolitic Horizon","","","bed","","","","","","","","Lower Sarmatian/Upper Serravallian. Bed 6, 60 cm thick.","Horizontally laminated diatomaceous carbonate siltstone","mudstone","planar lamination,diatomaceous","lithified","calcareous","","","","","","","lagoonal/restricted shallow subtidal","rift","Variable salinities but present of marine taxa (scyphozoa, fish, bivalves) indicates predominantly marine environment.  Semi-enclosed depositional environment in which the stratified water body, shallow depths, and soft bottom represented prerequisites for development of hypoxia and anoxia.","","166","166","0","Clapham, M.","Clapham, M.","unknown","2011-01-22 16:57:47","2011-01-21 23:57:47","","16.54","43.22","307"
"919771","occurrence","","","104941","Oligaeschna kvaceki n. sp.","species","176844","Oligaeschna kvaceki","species","176844","Oligocene","","33.9","23.03","35122, 35122","17.809999","49.480000","CZ","Moravia","","outcrop","","33.9","23.03","36","36","36","Menilite","","","","","","","","","","","Middle Oligocene, near Rupelian-Chattian boundary.","yellow-grey fine sandy claystones with calcareous admixture and marked lamination","claystone","planar lamination,fine,gray,yellow","lithified","","","","","","","","offshore","foreland basin","Fish finds indicate a epipelagic to Mesopelagic environment. One genus is a classic example of a neritic paleoenviroment","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-12 06:14:03","2014-06-12 11:27:30","","20.68","44.27","305"
"921296","occurrence","","","122880","Nannogomphus buergeri n. sp.","species","177476","Nannogomphus buergeri","species","177476","Early Tithonian","","150.8","145","35194, 35194","11.145000","48.910000","DE","","","outcrop","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","Plattenkalk limestone","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-19 15:10:32","2013-12-01 21:43:09","","23.87","32.08","305"
"921297","occurrence","","","139551","Nannogomphus buergeri","species","177476","Nannogomphus buergeri","species","177476","Early Tithonian","","150.8","145","35194, 35194","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-19 15:10:32","2013-12-01 21:44:27","","23.87","32.08","305"
"921479","occurrence","","","105427","Henrotayia n. gen. marci n. sp.","species","177914","Henrotayia marci","species","177914","Early Toarcian","","183","182","35239, 35239","5.907000","49.567001","LU","","","outcrop","","183","182","43","132","131","","","","","","","","","","","","","Fossils found in carbonate lenses","""limestone""","lenticular","lithified","","","","","","","","offshore indet.","passive margin","","","166","418","418","Clapham, M.","Karr, J.","Karr, J.","2011-02-20 10:34:13","2011-09-30 15:40:42","","23.72","39.52","315"
"921480","occurrence","","","105428","Liassostenophlebia n. gen. germanica n. sp.","species","177917","Liassostenophlebia germanica","species","177917","Early Toarcian","","183","182","35239, 35239","11.372500","49.165001","DE","Bavaria","","outcrop","","183","182","43","132","131","","","","","","","","","","","","","","""shale""","","lithified","","","","","","","","marine indet.","passive margin","","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-20 10:50:43","2011-02-19 17:50:43","","28.26","40.35","305"
"921481","occurrence","","","139551","Prostenophlebia jurassica","species","177921","Prostenophlebia jurassica","species","177921","Early Tithonian","","150.8","145","35239, 35239","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2013-12-01 22:56:10","","23.87","32.08","305"
"921482","occurrence","","","123985","Heterophlebia amphitrite n. sp.","species","177931","Stenophlebia amphitrite","species","177943","Early Tithonian","","150.8","145","35239, 35239","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2014-04-26 23:54:48","","23.87","32.08","305"
"921483","occurrence","","","139551","Stenophlebia amphitrite","species","177943","Stenophlebia amphitrite","species","177943","Early Tithonian","","150.8","145","35239, 35239","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2013-12-01 22:58:06","","23.87","32.08","305"
"921484","occurrence","","","139551","Stenophlebia eichstaettensis n. sp.","species","177944","Stenophlebia eichstaettensis","species","177944","Early Tithonian","","150.8","145","35239, 35239","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2013-12-01 22:56:10","","23.87","32.08","305"
"921486","occurrence","","","139551","Stenophlebia latreillei","species","177945","Stenophlebia latreillei","species","177945","Early Tithonian","","150.8","145","35239, 35239","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2013-12-01 23:24:49","","23.87","32.08","305"
"921487","occurrence","","","152880","Calopteryx lithographica n. sp.","species","177936","Stenophlebia lithographica","species","177946","Early Tithonian","","150.8","145","35239, 35239","11.145000","48.910000","DE","Bavaria","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2014-01-08 22:56:36","","23.87","32.08","305"
"921488","occurrence","","","122586","Heterophlebia phryne n. sp.","species","177937","Stenophlebia phryne","species","177956","Early Tithonian","","150.8","145","35428, 35428","11.145000","48.910000","DE","Bavaria","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination,gray","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2014-04-26 23:58:26","","23.87","32.08","305"
"921489","occurrence","","","139548","Stenophlebia phryne","species","177956","Stenophlebia phryne","species","177956","Early Tithonian","","150.8","145","35239, 35239","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonotum ammonoid","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-20 11:13:42","2013-12-01 23:29:02","","23.87","32.08","305"
"921491","occurrence","","","104007","Mesostenophlebia n. gen. anglicana n. sp.","species","177925","Mesostenophlebia anglicana","species","177925","Early Berriasian","","145","140.2","35239, 35239","-1.950000","50.605000","UK","England","Dorset","outcrop","","145","140.2","123","123","123","Lulworth","Purbeck","Worbarrow Tout","group of beds","","","","","","","","Hard Cockle Beds = lowermost Worbarrow Tout Mbr","","marl","shelly/skeletal","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-20 11:18:48","2011-02-19 18:18:48","","16.17","33.00","315"
"921801","occurrence","","","105500","Prorhyothemis n. gen. bubiki n. sp.","species","178030","Prorhyothemis bubiki","species","178030","MN 4","","16.9","15.97","35247, 35247","12.691323","50.156178","CZ","","","outcrop","","16.9","15.97","102","102","102","Cypris","","","","","","","","","","","Ottangian-Karpatian","Fine bedded bitumenous Shales","""shale""","fine","lithified","","","","","","","","lacustrine - small","rift","Cheb/Sokolov basin system. The first significant depositional episode in the Cheb Basin coincides with the deposition of late Oligocene-Miocene clastics in the whole extensional system of the Ohe Graben, controlled by E-W – trending depocenter.","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-21 12:43:30","2011-02-20 19:43:30","","14.75","47.08","305"
"921864","occurrence","","","105501","Onychothemis ? rihai n. sp.","species","178040","Onychothemis rihai","species","178040","MN 4","","16.9","15.97","35247, 35247","12.520000","50.130001","CZ","","","outcrop","","16.9","15.97","102","102","102","Cypris","","","","","","","","","","","Ottangian-Karpatian","Fine bedded bitumenous Shales","""shale""","fine","lithified","","","","","","","","lacustrine - small","rift","Cheb/Sokolov basin system. The first significant depositional episode in the Cheb Basin coincides with the deposition of late Oligocene-Miocene clastics in the whole extensional system of the Ohe Graben, controlled by E-W – trending depocenter.","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-21 13:15:14","2013-10-16 14:56:37","","14.59","47.06","305"
"922044","occurrence","","","105508","Merlax n. gen. bohemicus n. sp.","species","178061","Merlax bohemicus","species","178061","MN 3","","2","16.9","35249, 35249","13.729000","50.571999","CZ","","","outcrop","","2","16.9","102","102","102","Most","","","bed","","","","","","","","Eggenburgian/Ottnangian, Early Miocene (Burdigalian), zone MN 3a. Clayey Superseam horizon.","","claystone","","lithified","","","","","","","","lacustrine - small","rift","Bilina paleolake was shallow (1-7 m) and swampy (Kvacek et al., 2004). Most Basin is the largest preserved sedimentary basin within the Eger Graben, the easternmost part of the European Cenozoic Rift System (ECRIS).","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-21 15:51:57","2013-09-16 22:33:27","","15.97","47.07","305"
"922180","occurrence","","","123985","Aeschna muensteri n. sp.","species","177593","Mesuropetala muensteri","species","177594","Early Tithonian","","150.8","145","50674, 50674","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","166","166","Clapham, M.","Clapham, M.","Clapham, M.","2011-02-22 04:36:42","2014-04-07 23:25:48","","23.87","32.08","305"
"922186","occurrence","","","105539","Aeschnopsis perampla n. sp.","species","178148","Aeschnopsis perampla","species","178148","Berriasian","","145","139.8","35206, 35206","-2.015000","51.080002","UK","England","Wiltshire","","","145","139.8","123","123","123","","Purbeck","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","passive margin","","","166","166","418","Clapham, M.","Clapham, M.","Karr, J.","2011-02-22 05:41:08","2011-10-21 00:04:03","","16.64","33.58","315"
"922187","occurrence","29612","","104008","Libellula jurassica n. sp.","species","178152","Aeschnopsis jurassica","species","178153","Middle Berriasian","","145","140.2","47505, 47505","-1.980000","51.080002","UK","England","Wiltshire","outcrop","","145","140.2","123","123","123","Lulworth","Purbeck","","bed","","","","","","","","","","not reported","","","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","166","166","Clapham, M.","Clapham, M.","Clapham, M.","2011-02-22 05:41:08","2016-03-18 15:58:37","","16.13","33.47","315"
"922189","occurrence","","","105541","Aeschnopsis tischlingeri n. sp.","species","178156","Aeschnopsis tischlingeri","species","178156","Early Tithonian","","150.8","145","35206, 35206","11.105000","48.904999","DE","Bayern","","","","150.8","145","124","124","124","Solnhofen","","","","Hybonoticeras hybonotum","","","","","","","","Plattenkalk or Lithographic limestone","lime mudstone","planar lamination,brown","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","166","166","Clapham, M.","Clapham, M.","Clapham, M.","2011-02-22 05:54:15","2013-12-01 18:19:42","","23.84","32.07","305"
"922333","occurrence","","","105570","Italolestes n. gen. stroppai n. sp.","species","178175","Italolestes stroppai","species","178175","Messinian","","7.246","5.333","35266, 35266","12.916000","43.900002","IT","","","outcrop","","7.246","5.333","98","98","98","","","","","","Bituminous Marls","Strato degli insetti","","","","","Lower Messinian, Upper Miocene, base of the unit “Bituminous Marls”, 10 m below the level “Strato degli insetti”, in which more than 90% of all fossil dragonflies of Monte Castellaro have been discovered. Its age may be several thousand years older than that of other dragonflies from the same deposit.","","marl","","lithified","","","","","","","","lagoonal","foreland basin","","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-22 10:26:18","2011-02-21 17:26:18","","13.90","42.43","307"
"922334","occurrence","","","105571","Miostenolestes n. gen. zherikhini n. sp.","species","178181","Miostenolestes zherikhini","species","178181","Middle Miocene","","15.97","11.608","35266, 35266","42.320000","45.049999","RU","","","outcrop","","15.97","11.608","35","101","99","Karagan","","","","","","","","","","","","","""shale""","","lithified","carbonaceous","","","","","","","lacustrine indet.","foreland basin","","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-22 10:42:48","2011-02-21 17:42:48","","42.53","42.12","302"
"922335","occurrence","","","105571","Paraoligolestes stavropolensis n. sp.","species","178184","Paraoligolestes stavropolensis","species","178184","Middle Miocene","","15.97","11.608","35266, 35266","42.320000","45.049999","RU","","","outcrop","","15.97","11.608","35","101","99","Karagan","","","","","","","","","","","","","""shale""","","lithified","carbonaceous","","","","","","","lacustrine indet.","foreland basin","","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-22 10:42:48","2011-02-21 17:42:48","","42.53","42.12","302"
"922336","occurrence","","","105571","Stenolestes fasciata n. sp.","species","178187","Stenolestes fasciata","species","178187","Middle Miocene","","15.97","11.608","35266, 35266","42.320000","45.049999","RU","","","outcrop","","15.97","11.608","35","101","99","Karagan","","","","","","","","","","","","","""shale""","","lithified","carbonaceous","","","","","","","lacustrine indet.","foreland basin","","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-22 10:42:48","2011-02-21 17:42:48","","42.53","42.12","302"
"922337","occurrence","","","105572","Stenolestes ? adygeianensis n. sp.","species","178188","Stenolestes adygeianensis","species","178188","Early Oligocene","","33.9","28.4","35266, 35266","40.214001","44.410000","RU","Adygeia","","outcrop","","33.9","28.4","105","105","105","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","foreland basin","Kuban foreland basin.","","166","418","0","Clapham, M.","Karr, J.","unknown","2011-02-22 11:13:29","2011-02-21 18:13:29","","41.22","38.67","302"
"922338","occurrence","","","122984","Stenolestes cerestensis n. sp.","species","178189","Stenolestes cerestensis","species","178189","Chattian","","28.1","23.03","35266, 35266","5.583333","43.849998","FR","","","small collection","","28.1","23.03","104","104","104","","","","bed","","","","","","","","Lower Stampian","""Calcaires""","""carbonate""","","","","","","","","","","lacustrine indet.","rift","Apt basin. Irregular basins formed during extension of the European platform in the Oligocene resulting from the formation of the West-European rift system.","","166","418","166","Clapham, M.","Karr, J.","Clapham, M.","2011-02-22 11:16:16","2012-01-07 20:40:11","","8.91","39.31","305"
"923908","occurrence","","","131851","Mesuropetalidae indet.","family","175152","Mesuropetalidae","family","175152","Early Tithonian","","150.8","145","35206, 35206","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","166","166","Clapham, M.","Clapham, M.","Clapham, M.","2011-02-25 09:33:52","2013-12-01 21:54:46","","23.87","32.08","305"
"923936","occurrence","","","104005","Paraliupanshania britannica n. sp.","species","178370","Paraliupanshania britannica","species","178370","Early Barremian","","13","125.45","35206, 35206","-0.454000","51.098000","UK","England","West Sussex","outcrop","","13","125.45","40","121","120","Weald Clay","Wealden","Upper","bed","","","","","","","","","","not reported","","","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","166","0","Clapham, M.","Clapham, M.","unknown","2011-02-25 10:13:15","2011-02-24 17:13:15","","24.65","37.45","315"
"923939","occurrence","","","123985","Libellula longialata n. sp.","species","178400","Cymatophlebia longialata","species","178401","Early Tithonian","","150.8","145","50674, 50674","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","166","166","166","Clapham, M.","Clapham, M.","Clapham, M.","2011-02-25 11:49:58","2014-04-07 23:25:48","","23.87","32.08","305"
